Site name;Salton Sea;Upper Rhine Graben;Salar de Atacama;Salar de Olaroz;Salar de Cauchari-Olaroz;Salar del Hombre Muerto North;Tres Quebradas;Salar del Rincon;Salar de Arizaro;Salar de Rio Grande;Salar de Tolillar;Sal de los Angeles;Fenix;Sal de Vida;Salar de Pastos Grandes;Salar de Antofalla;Salar de Centenario;Salar de Pocitos;Pozuelos;Salar de Salinas Grandes;Maricunga;Salar de Uyuni;Twelveheads;Qinghai Yiliping;West Taijinair;East Taijinair;Jintaier Lake;Salar de Ollague;Silver Peak;Kachi;Chaerhan
abbreviation;Sal;URG;Ata;Ola;Cau;Hom;TresQ;Rin;Ari;Rio;Tol;Ang;Fen;Vid;Pas;Ant;Cent;Poc;Poz;SalG;Mari;Uyu;Twel;Yilip;WeTai;EaTai;Jint;Olla;Sil;Kach;Chaer
deposit_type;geothermal;geothermal;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;geothermal;salar;salar;salar;salar;salar;salar;salar;salar
country_location;US-WECC;DE;CL;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;CL;BOL;GB;CN;CN;CN;CN;CL;US;AR;CN 
waste_reported;;;;128340;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quicklime;;;;;;;;;;;;;;;72 000 t (EP), 2 200 (MgCa);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
process_sequence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
process_1;SiFe_removal_limestone;SiFe_removal_limestone;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;;evaporation_ponds;SiFe_removal_limestone;;;;;;evaporation_ponds;evaporation_ponds;
process_2;MnZn_removal_lime;MnZn_removal_lime;transport_brine;Centrifuge_general;B_removal_organicsolvent;B_removal_organicsolvent;transport_brine;Li_adsorption;Li_adsorption;Li_adsorption;Li_adsorption;Li_adsorption;Li_adsorption;Mg_removal_sodaash;B_removal_organicsolvent;Li_adsorption;Li_adsorption;Li_adsorption;Li_adsorption;Li_adsorption;;Li_adsorption;MnZn_removal_lime;;;;;;Centrifuge_general;Li_adsorption;
process_3;acidification;acidification;B_removal_organicsolvent;Liprec_TG;Mg_removal_sodaash;Centrifuge_general;B_removal_organicsolvent;triple_evaporator;triple_evaporator;triple_evaporator;triple_evaporator;triple_evaporator;triple_evaporator;CentrifugeSoda;Centrifuge_general;triple_evaporator;triple_evaporator;triple_evaporator;triple_evaporator;triple_evaporator;;triple_evaporator;acidification;;;;;;Liprec_TG;triple_evaporator;
process_4;Li_adsorption;Li_adsorption;Centrifuge_general;washing_TG;CentrifugeSoda;Mg_removal_sodaash;Mg_removal_sodaash;ion_exchange_L;ion_exchange_L;ion_exchange_L;ion_exchange_L;ion_exchange_L;ion_exchange_L;ion_exchange_H;Mg_removal_sodaash;ion_exchange_L;ion_exchange_L;ion_exchange_L;ion_exchange_L;ion_exchange_L;;ion_exchange_L;Li_adsorption;;;;;;washing_TG;ion_exchange_L;
process_5;CaMg_removal_sodiumhydrox;CaMg_removal_sodiumhydrox;Mg_removal_sodaash;CentrifugeTG;Mg_removal_quicklime;CentrifugeSoda;CentrifugeSoda;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;Liprec_TG;CentrifugeSoda;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;;DLE_evaporation_ponds;CaMg_removal_sodiumhydrox;;;;;;CentrifugeTG;DLE_evaporation_ponds;
process_6;ion_exchange_L;ion_exchange_L;CentrifugeSoda;dissolution;CentrifugeQuicklime;Mg_removal_quicklime;CaMg_removal_sodiumhydrox;Liprec_TG;Liprec_TG;Liprec_TG;Liprec_TG;Liprec_TG;Liprec_TG;CentrifugeTG;Mg_removal_quicklime;Liprec_TG;Liprec_TG;Liprec_TG;Liprec_TG;Liprec_TG;;Liprec_TG;ion_exchange_L;;;;;;dissolution;Liprec_TG;
process_7;reverse_osmosis;reverse_osmosis;Mg_removal_quicklime;Centrifuge_general;sulfate_removal_calciumchloride;CentrifugeQuicklime;Centrifuge_general;CentrifugeTG;CentrifugeTG;CentrifugeTG;CentrifugeTG;CentrifugeTG;CentrifugeTG;washing_TG;CentrifugeQuicklime;CentrifugeTG;CentrifugeTG;CentrifugeTG;CentrifugeTG;CentrifugeTG;;CentrifugeTG;reverse_osmosis;;;;;;Centrifuge_general;CentrifugeTG;
process_8;triple_evaporator;triple_evaporator;CentrifugeQuicklime;ion_exchange_H;ion_exchange_H;Liprec_TG;Liprec_TG;washing_TG;washing_TG;washing_TG;washing_TG;washing_TG;washing_TG;dissolution;ion_exchange_H;washing_TG;washing_TG;washing_TG;washing_TG;washing_TG;;washing_TG;triple_evaporator;;;;;;ion_exchange_H;washing_TG;
process_9;Liprec_TG;Liprec_TG;Liprec_TG;ion_exchange_H;triple_evaporator;CentrifugeTG;CentrifugeTG;dissolution;dissolution;dissolution;dissolution;dissolution;dissolution;Liprec_BG;Liprec_TG;dissolution;dissolution;dissolution;dissolution;dissolution;;dissolution;Liprec_TG;;;;;;ion_exchange_H;dissolution;
process_10;CentrifugeTG;CentrifugeTG;CentrifugeTG;ion_exchange_L;Liprec_TG;washing_TG;washing_TG;Liprec_BG;Liprec_BG;Liprec_BG;Liprec_BG;Liprec_BG;Liprec_BG;CentrifugeBG;CentrifugeTG;Liprec_BG;Liprec_BG;Liprec_BG;Liprec_BG;Liprec_BG;;Liprec_BG;CentrifugeTG;;;;;;ion_exchange_L;Liprec_BG;
process_11;washing_TG;washing_TG;washing_TG;Liprec_BG;CentrifugeTG;dissolution;dissolution;CentrifugeBG;CentrifugeBG;CentrifugeBG;CentrifugeBG;CentrifugeBG;CentrifugeBG;washing_BG;washing_TG;CentrifugeBG;CentrifugeBG;CentrifugeBG;CentrifugeBG;CentrifugeBG;;CentrifugeBG;washing_TG;;;;;;Liprec_BG;CentrifugeBG;
process_12;dissolution;dissolution;dissolution;CentrifugeBG;washing_TG;Liprec_BG;Liprec_BG;washing_BG;washing_BG;washing_BG;washing_BG;washing_BG;washing_BG;CentrifugeWash;dissolution;washing_BG;washing_BG;washing_BG;washing_BG;washing_BG;;washing_BG;dissolution;;;;;;CentrifugeBG;washing_BG;
process_13;Liprec_BG;Liprec_BG;Liprec_BG;washing_BG;dissolution;CentrifugeBG;CentrifugeBG;CentrifugeWash;CentrifugeWash;CentrifugeWash;CentrifugeWash;CentrifugeWash;CentrifugeWash;rotary_dryer;Liprec_BG;CentrifugeWash;CentrifugeWash;CentrifugeWash;CentrifugeWash;CentrifugeWash;;CentrifugeWash;Liprec_BG;;;;;;washing_BG;CentrifugeWash;
process_14;CentrifugeBG;CentrifugeBG;CentrifugeBG;CentrifugeWash;Liprec_BG;washing_BG;washing_BG;rotary_dryer;rotary_dryer;rotary_dryer;rotary_dryer;rotary_dryer;rotary_dryer;;CentrifugeBG;rotary_dryer;rotary_dryer;rotary_dryer;rotary_dryer;rotary_dryer;;rotary_dryer;CentrifugeBG;;;;;;CentrifugeWash;rotary_dryer;
process_15;washing_BG;washing_BG;washing_BG;rotary_dryer;CentrifugeBG;CentrifugeWash;CentrifugeWash;;;;;;;;washing_BG;;;;;;;;washing_BG;;;;;;rotary_dryer;;
process_16;CentrifugeWash;CentrifugeWash;CentrifugeWash;;washing_BG;rotary_dryer;rotary_dryer;;;;;;;;CentrifugeWash;;;;;;;;CentrifugeWash;;;;;;;;
process_17;rotary_dryer;rotary_dryer;rotary_dryer;;CentrifugeWash;;;;;;;;;;rotary_dryer;;;;;;;;rotary_dryer;;;;;;;;
process_18;;;;;rotary_dryer;;;;;;;;;;;;;;;;;;;;;;;;;;
process_19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
process_20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
